datetime,Daily_sm_set1,Daily_sm_set5,13D_sm_set1,13D_sm_set5
2023-12-01 00:00:00+00:00,26.9800,18.1300,29.4115,18.2108
2023-12-02 00:00:00+00:00,27.0100,18.1100,28.7700,18.1854
2023-12-03 00:00:00+00:00,32.1800,18.1400,28.6315,18.1754
2023-12-04 00:00:00+00:00,32.7600,17.3800,28.8031,18.1015
2023-12-05 00:00:00+00:00,33.9400,28.9000,29.2277,18.9200
2023-12-06 00:00:00+00:00,33.6100,43.1900,29.6785,20.8377
2023-12-07 00:00:00+00:00,31.8900,42.6500,30.0269,22.7238
2023-12-08 00:00:00+00:00,29.5300,41.9100,30.1554,24.5469
2023-12-09 00:00:00+00:00,28.9600,40.1400,30.2123,26.2392
2023-12-10 00:00:00+00:00,28.7300,38.6600,30.0762,27.8108
2023-12-11 00:00:00+00:00,34.0700,37.9600,30.3562,29.3362
2023-12-12 00:00:00+00:00,35.0200,37.4500,30.9046,30.8277
2023-12-13 00:00:00+00:00,33.4100,38.3600,31.3915,32.3831
2023-12-14 00:00:00+00:00,29.9600,40.3900,31.6208,34.0954
2023-12-15 00:00:00+00:00,28.9600,40.7000,31.7708,35.8331
2023-12-16 00:00:00+00:00,28.2100,40.3800,31.4654,37.5438
2023-12-17 00:00:00+00:00,27.7400,39.8500,31.0792,39.2723
2023-12-18 00:00:00+00:00,26.7000,39.2400,30.5223,40.0677
2023-12-19 00:00:00+00:00,26.7100,38.8200,29.9915,39.7315
2023-12-20 00:00:00+00:00,26.8400,38.3800,29.6031,39.4031
2023-12-21 00:00:00+00:00,26.9000,38.1900,29.4008,39.1169
2023-12-22 00:00:00+00:00,26.7600,37.8400,29.2315,38.9400
2023-12-23 00:00:00+00:00,28.9300,38.1700,29.2469,38.9023
2023-12-24 00:00:00+00:00,29.7600,37.6500,28.9154,38.8785
2023-12-25 00:00:00+00:00,30.0100,37.2300,28.5300,38.8615
2023-12-26 00:00:00+00:00,29.9700,37.1800,28.2654,38.7708
2023-12-27 00:00:00+00:00,26.7400,36.8100,28.0177,38.4954
2023-12-28 00:00:00+00:00,27.6500,36.8000,27.9169,38.1954
2023-12-29 00:00:00+00:00,27.3900,36.5800,27.8538,37.9031
2023-12-30 00:00:00+00:00,27.2200,36.3900,27.8138,37.6369
2023-12-31 00:00:00+00:00,27.1700,35.8600,27.8500,37.3769
